PokemonId,NameEn,NameTw,Type1,Type2,Old_MaxCp,Old_BaseAtk,Old_BaseDef,Old_BaseSta,CaptureRate,FleeRate,Height,Weight,BaseAtk,BaseDef,BaseSta,MaxCp,Flavor
28,Sandslash,穿山王,Ground,,1810,150,172,150,16,6,29.5,1,182,202,150,2328,穿山王是生活在地面上的一尾的兩足動物。它的身體大部分都被堅韌的剛毛覆蓋，這給了它很強的防禦和攻擊能力。它有兩個很大的爪子，這是它的主要進攻武器。它的爪子還能挖洞。它會蜷縮成一個球以保護它的腹部。它的爪子可能會定期的脫落，但也會很快的長出來。阿羅拉樣子的穿山王除了腹部和嘴巴周圍是白色的以外其他地方全是淡藍色的，原來背上的毛髮變為尖銳的冰，眼睛也變為藍色眼白和黑色眼珠。
29,Nidoran♀,尼多蘭,Poison,,876,100,104,110,40,15,7,0.4,86,94,110,736,尼多蘭是小型的四足齧齒動物。全身大多都是藍色的。三角形眼睛是紅色的。嘴裡有一顆白色的門牙。長有鬍鬚和大耳朵。爪子是兩趾的。額頭上長一個很小的毒刺。背上也長有一些刺。這讓它們在收到威脅時能釋放出毒素。
30,Nidorina,尼多娜,Poison,,1404,132,136,140,20,7,20,0.8,117,126,140,1218,尼多娜的外貌與尼多蘭很像。外表是藍色的，長有大耳朵，嘴裡有小尖牙。背上有毒刺。前後肢長有三趾。眼睛是三角形的、紅色的。它的後肢比尼多蘭更強壯，所以會立起身子用兩足行走。但它的頭上沒有毒針。
31,Nidoqueen,尼多后,Ground,Poison,2485,184,190,180,10,5,60,1.3,180,174,180,2338,尼多后是大型的藍色的兩足動物。綜合了哺乳動物和爬行動物的一些特徵。它有粗大的尾巴和像老鼠一樣的耳朵。前肢看起來非常強壯，有三個細小的爪子。它的後腿也變得很粗壯，因此尼多后基本是用後足行走的。尼多后的額頭上有角。尼多后的下巴、胸部、和軀幹的下半部分是白色的。
32,Nidoran♂,尼多朗,Poison,,843,110,94,92,40,15,9,0.5,105,76,92,739,尼多朗是有大耳朵，小牙齒和小紅眼睛的四足動物，是像豪豬一樣的神奇寶貝。他們的後背都覆蓋，毒刺。如果尼多朗受到威脅，它會釋放烈性的毒。
33,Nidorino,尼多力諾,Poison,,1372,142,128,122,20,7,19.5,0.9,137,112,122,1252,尼多力諾的個頭比尼多朗大，但還是紫色的。它額頭上的角變大了，它的耳朵也變大了，它背上的依然有刺。它的牙齒變成了露出來的小尖牙。它的爪子有三個趾，而不是像尼多朗那樣是兩個。
34,Nidoking,尼多王,Ground,Poison,2475,204,170,162,10,5,62,1.4,204,157,162,2386,尼多王比尼多力諾、尼多朗要大很多，而且能用後腿站立。尼多王是紫色的，身上沒有斑點。 尼多王最突出的特點是其大型的，尖銳的，有毒的角。它是有力的攻擊武器。 尼多王的耳朵的邊緣有小而尖的刺，耳朵內部是綠色的。 尼多王下顎的每一側上有五個齒，第五顆牙齒格外長，所以不管它的嘴巴是張開還是閉上都能看見。尼多王的眼睛的形狀是三角形。尼多王的後背的刺是非常大的。它的尾巴有幾個細條紋裝飾。它的胸部和腹部是灰白色的。尼多王的爪子是三趾的，它的後肢只有一個一個單一的大型蹄狀趾。
35,Clefairy,皮皮,Fairy,,1200,116,124,140,24,10,7.5,0.6,107,116,140,1085,皮皮是外貌可愛的一尾的兩足動物。顏色是粉色的。身體是星狀的、胖乎乎的。手上有三趾，其中有兩個有指甲一類的東西。腳只有一個趾。它的嘴裡有一個小齒。眼睛邊上有皺紋。它的耳朵是粉色的，尖端是棕色的。背後有小翅膀但它不能飛。
36,Clefable,皮可西,Fairy,,2397,178,178,190,8,6,40,1.3,178,171,190,2353,皮可西和皮皮一樣，依然是粉色的一尾兩足的動物。它和皮皮相比，顯著的不同就是個頭更大，翅膀也變得更大。它沒有了皮皮的兩個指甲。但是它的後足變成了二趾。也能看出皮可西的尾巴更大。
37,Vulpix,六尾,Fire,,831,106,118,76,24,10,9.9,0.6,96,122,76,774,六尾是一種小型，四足，長得像狐狸的神奇寶貝。它有紅棕色的毛皮，棕色無瞳孔的眼鏡，大大的尖耳朵，內耳是深棕色的。擁有六條橙色的卷尾巴。它在快要進化時，尾巴會變熱。在它的頭頂有捲曲的橙色毛髮。在剛出生時，它只有一條白色的尾巴，隨著它的成長，這條尾巴分叉並生長得愈加美麗溫暖。六尾有乳白色的肚子，棕色的腳爪和淺棕色的爪墊。阿羅拉樣子的六尾的身體大部分都是白色的，頭上的毛髮和尾巴的毛髮也是白色的，看上去軟綿綿的很蓬鬆。
38,Ninetales,九尾,Fire,,2188,176,194,146,8,6,19.9,1.1,169,204,146,2157,九尾全身披著米黃色的毛髮，有一雙鮮紅的赤瞳。身體勻稱，顯得高貴而優雅。它的九條尾巴順滑而修長，末端有金黃色的挑染。在阿羅拉地區它的毛色是淺藍色的，尾巴和身體相連接的部分是稍微深一點的藍色。阿羅拉樣子的九尾就像進化前的六尾一樣，也是渾身雪白，不過相對於其他地區的形態，阿羅拉的樣子的九尾的頭部的毛髮變得更長更飄逸，尾巴也是更加飄逸了。
39,Jigglypuff,胖丁,Fairy,Normal,917,98,54,230,40,10,5.5,0.5,80,44,230,713,胖丁是圓形的粉色球狀神奇寶貝，有小的貓耳和大眼睛。胖丁有有彈性的氣球狀皮膚。它們有小的短臂，但腳較大且沒有尾巴。它有一束毛髮狀的捲毛在頭頂。胖丁的體內可能都是空氣，因為在神奇寶貝競技場中打倒胖丁後它會掉到地上像一個癟掉的氣球或一張紙片。
40,Wigglytuff,胖可丁,Fairy,Normal,2177,168,108,280,16,6,12,1,156,93,280,1906,作為胖丁的進化，一般屬性和妖精系（第六世代之前是一般屬性）神奇寶貝胖可丁通體看上去不像胖丁那樣圓，身上的粉色也比進化前更淺一些 。類似兔耳的耳朵和頭上的卷狀讓胖可丁看上去更貼近於可愛的角色。
41,Zubat,超音蝠,Flying,Poison,642,88,90,80,40,20,7.5,0.8,83,76,80,569,蝙蝠神奇寶貝超音蝠通體深藍色，耳蝸和翼膜是深淺紫色，張得大大的嘴巴裡可以看見四顆白色的牙，且沒有眼睛。
42,Golbat,大嘴蝠,Flying,Poison,1921,164,164,150,16,7,55,1.6,161,153,150,1830,大嘴蝠在進化後有了眼睛，而腳似乎有了腳板，耳朵卻變得比進化前小了。
43,Oddish,走路草,Grass,Poison,1148,134,130,90,48,15,5.4,0.5,131,116,90,1069,走路草像是一株有著圓形雙腳的植物球根，它有紅色的珠子形狀的眼睛。走路草從頭上抽出五片綠色的葉子，中間一片葉子頂端向後彎折。
44,Gloom,臭臭花,Grass,Poison,1689,162,158,120,24,7,8.6,0.8,153,139,120,1512,和進化前型態走路草一樣，臭臭花有藍色的身體。但是現在它頭頂上有一朵紅棕色有白色斑點的「花朵」。這朵花看起來像熱帶雨林裡的大王花，其氣味像是腐肉一般。它在作為走路草時有的葉子似乎已經在花朵下方枯萎了。臭臭花的眼睛看起來似乎一直是閉著的，它的紫色嘴唇似乎也一直在流著口水。然而這種「口水」實際上是花蜜。臭臭花有一雙手臂，它的腿看起來較進化前也更加發達了。
45,Vileplume,霸王花,Grass,Poison,2492,202,190,150,12,5,18.6,1.2,202,170,150,2367,霸王花和其進化前型態一樣，有靛藍色的身體和雙腿，但是現在它頭上變得有一朵更大的「花」。這朵花和臭臭花的花有些許不同，雖然它看起來還是很像大王花。據說霸王花擁有世界上最大的花瓣，它的花也占據了它身高的大部分。它的花瓣相對於它身體其他部分的尺寸使得霸王花不受日光的照射，它的花瓣幾乎成為了遮陽板。
46,Paras,派拉斯,Bug,Grass,916,122,120,70,32,15,5.4,0.3,121,99,70,836,派拉斯整體多為橙色，且有一對爪。派拉斯的眼睛非常大，而背上則被寄生了兩只蘑菇。
47,Parasect,派拉斯特,Bug,Grass,1747,162,170,120,16,7,29.5,1,165,146,120,1657,派拉斯特在進化後雙眼翻白，且爪變成了鉗子。而背上的蘑菇成長得比本體還大，也因此派拉斯特的意志是由背上的蘑菇在控制著。
48,Venonat,毛球,Bug,Poison,1029,108,118,120,40,15,30,1,100,102,120,902,毛球全身被紫色的毛所覆蓋，眼睛為紅色的複眼且非常大，還有兩根白色的觸鬚和灰棕色的手腳。
49,Venomoth,末入蛾,Bug,Poison,1890,172,154,140,16,7,12.5,1.5,179,150,140,1937,進化後的摩魯蛾失去了複眼和手腳，但長出了巨大的翅膀。
50,Diglett,地鼠,Ground,,456,108,86,20,40,10,0.8,0.2,109,88,20,465,地鼠的身體只有橢圓形的棕色頭部和紅色的鼻子或嘴巴，地下部分仍然不為人知。
51,Dugtrio,三地鼠,Ground,,1168,148,140,70,16,6,33.3,0.7,167,147,70,1333,三地鼠比進化前多出了兩個頭。
52,Meowth,喵喵,Normal,,756,104,94,80,40,15,4.2,0.4,92,81,80,638,喵喵有著類似貓科動物的外觀，與體型小的家貓有著相似的特徵。一般占據多數的喵喵都是靠四足行走，然而一些卻會憑兩隻腳的力量行走。它有著乳白的毛髮，而在尾巴尾端和後爪開始變成褐色。它那橢圓形的臉蛋與四個突出的貓須連接一起、無鼻孔、黑與褐的一雙耳朵、一個閃閃發亮的橢圓金幣貼在額頭上。喵喵與貓老大和其他現世中的貓咪一樣，一旦遇上了危機狀況它會立伸出尖利的爪子。阿羅拉樣子的喵喵全身都是灰色，除了耳朵、腳的前半部分和尾巴的一部分是白色的，眼睛也變為半睜，臉上的鬍子也變得有些彎曲。
53,Persian,貓老大,Normal,,1631,156,146,130,16,7,32,1,150,139,130,1539,貓老大進化後頭頂上有一顆紅色寶石，且體毛沒有了任何棕色變成了全乳白色。而耳朵也變圓了，瞳孔為紅色，臉上左右各三條貓須。貓老大在進化後變得更像獅子了。
54,Psyduck,可達鴨,Water,,1109,132,112,100,40,10,19.6,0.8,122,96,100,966,可達鴨的身體是黃色的，它的眼睛裡有極小的瞳孔。它的嘴巴是扁狀的，頭上有三條黑色的呆毛，四肢短壯，酷似河童。
55,Golduck,哥達鴨,Water,,2388,194,176,160,16,6,76.6,1.7,191,163,160,2270,進化後身體就變成藍色，額頭有個紅色的附屬物，手進化為蹼，尾巴變長了。進化後行動能力明顯變好很多，而且很多處地方也變尖了。
56,Mankey,猴怪,Fighting,,878,122,96,80,40,10,28,0.5,148,87,80,1002,猴怪的身體本體幾乎都在頭的部位，全身被毛，四肢末端變為褐色。擁有一隻粉紅色類似豬鼻子的鼻子，三角形的眼睛透露著不馴的神色。雙手與雙腳分為三指，一條長長又靈活的尾巴，末端也為褐色。
57,Primeape,火爆猴,Fighting,,1864,178,150,130,16,6,32,1,207,144,130,2105,進化後看起來更像是猴子和豬的結合體，性格變得火爆。四肢被毛消失且戴上了黑色的圓環，尾巴消失，整體看起來更加強壯。
58,Growlithe,卡蒂狗,Fire,,1335,156,110,110,24,10,19,0.7,136,96,110,1110,卡蒂狗的表面顏色為深橙色與亞麻色，伴有黑色條紋。有一對招風耳，前肢更類似於象蹄。前胸的毛看起來很蓬鬆，亞麻色從前胸部一直延伸至尾巴。黑色的瞳仁透露出忠誠與勇敢。
59,Arcanine,風速狗,Fire,,2983,230,180,180,8,6,155,1.9,227,166,180,2839,風速狗有蓬鬆的毛髮，覆蓋了面部。眼睛變為棕色，身體有像老虎般的條紋，腳上有毛髮圍繞著，尾部則有長尾，奔跑時，身體猶如與風融合，相當有威嚴。
60,Poliwag,蚊香蝌蚪,Water,,795,108,98,80,40,15,12.4,0.6,101,82,80,695,蚊香蝌蚪沒有手，只有看起來很是柔弱的雙腳，尾巴為圓潤的羽毛狀，皮膚很薄卻很有彈力。在它的腹部中有蚊香的形狀且是順時針旋轉的。
61,Poliwhirl,蚊香蛙,Water,,1340,132,132,130,20,7,20,1,130,130,130,1313,蚊香君是一種擁有球形身體的藍色兩足寶可夢。它擁有從頭頂突出的球根狀的眼睛。它的肚子上布滿黑白相間的螺旋，是逆時針旋轉的。四肢很短，它的兩隻手看上去如同戴了白色的拳套，腳是圓形的，沒有腳趾。
62,Poliwrath,快泳蛙,Fighting,Water,2505,180,202,180,10,5,54,1.3,182,187,180,2441,蚊香泳士是藍色的，有強壯的手臂的兩足神奇寶貝。它的兩眼從頭上突出。它的肚子被黑色蚊香狀花紋和白色覆蓋。它看起來手上像有手套，腳沒有腳趾。
63,Abra,凱西,Psychic,,600,110,76,50,40,99,19.5,0.9,195,103,50,1148,凱西通體黃色，有著尖尖的鼻子，眼睛幾乎總是閉著。身上狀似穿著褐色的鎧甲，長尾巴的末端帶著一個褐色的圓環。
64,Kadabra,勇吉拉,Psychic,,1131,150,112,80,20,7,56.5,1.3,232,138,80,1859,進化後，勇基拉睜開了眼睛，右手拿著一把勺子，耳朵也變長了。長出了鬍子，腹部多出了三道紅色印記。手腳末端長出了尖銳的指甲，尾巴也變得粗壯不少。額頭正中多出了一個紅色的五角星印記。
65,Alakazam,胡地,Psychic,,1813,186,152,110,10,5,48,1.5,271,194,110,2887,胡地在進化後鬍子變得更長，頭部長出了四個尖角。手腕部分多了兩個狀似護腕的物體，手中多出了一個勺子。足部變得更為粗壯，使得它更為有力。<br/><br/>超進化後的胡地，身上的鎧甲部分變為了紫色的法袍。整體的顏色不變，額頭正中增多了一塊紅色的晶體，鬍子由黃色變為了白色，數量增多了不少。兩隻腳拼在一起，並運用超能力使自己浮在空中。勺子的數量再次增多，不再握在手中，而是被超能力托舉到了空中。
66,Machop,腕力,Fighting,,1069,118,96,140,40,10,19.5,0.8,137,88,140,1199,腕力通體灰色，手部分為五個手指，足部不分趾。有著紅色的瞳仁，黑色的瞳孔。頭頂有三個狀似瓦片的物體。此外，它還擁有著尾巴。
67,Machoke,豪力,Fighting,,1760,154,144,160,20,7,70.5,1.5,177,130,160,1910,豪力的皮膚是紫色的，它戴了一條金色的腰帶和三角褲，肌肉變得更加壯碩，手臂上也多出了紅色的痕跡。
68,Machamp,怪力,Fighting,,2594,198,180,180,10,5,130,1.6,234,162,180,2889,怪力和腕力的膚色一樣，和豪力一樣戴了金色的腰帶，手臂上的紅色痕跡消失了，最大變化是多了一雙手，腳分為兩趾。
69,Bellsprout,喇叭芽,Grass,Poison,1117,158,78,100,40,15,4,0.7,139,64,100,916,喇叭芽黃色的頭部就像喇叭一樣，它的樣子和植物非常像，根、莖還有葉子都和植物非常相似，葉子成為手，根部成為腳。
70,Weepinbell,口呆花,Grass,Poison,1723,190,110,130,20,7,6.4,1,172,95,130,1475,進化後的口呆花的頭部變得更大了，嘴巴也隨之變大。根部已經退化了，但還保留了兩片葉子和一部分莖，額頭上增多了3個斑點。
71,Victreebel,大食花,Grass,Poison,2530,222,152,160,10,5,15.5,1.7,207,138,160,2268,進化後的大食花能夠直立，頭部長出了一片葉子，口部長出了尖利的牙齒，使整體形象看上去更像豬籠草。身體兩側的葉子作為雙手，身體下部長出了一條尾巴，尾巴末端像是一片葉子。
72,Tentacool,瑪瑙水母,Poison,Water,905,106,136,80,40,15,45.5,0.9,97,182,80,956,瑪瑙水母通體為藍色，有一個菱形的鼻子。頭部兩側有兩大塊類似紅色瑪瑙的透明物體，額頭正中有一塊稍小一點的。身體下部有兩條觸手。
